Key,Link,Buy Audio,Title,Shadow,Gift,Siddhi,In My Spheres,My Count,My Lines,Programming Partner,Physiology,Codon Ring,Amino Acid
11,https://teachings.genekeys.com/gene-key-11,https://teachings.genekeys.com/product/audio11,The Light of Eden,Obscurity,Idealism,Light,,0,,12,Pituitary Gland,Ring of Light,Threonine
12,https://teachings.genekeys.com/gene-key-12,https://teachings.genekeys.com/product/audio12,A Pure Heart,Vanity,Discrimination,Purity,,0,,11,Thyroid,Ring of Secrets,NONE (Terminator Codon)
13,https://teachings.genekeys.com/gene-key-13,https://teachings.genekeys.com/product/audio13,Listening Through Love,Discord,Discernment,Empathy,,0,,7,Amygdala,Ring of Purification,Glutamine
14,https://teachings.genekeys.com/gene-key-14,https://teachings.genekeys.com/product/audio14,Radiating Prosperity,Compromise,Competence,Bounteousness,Evolution (A),1,6,8,Small Intestine,Ring of Fire,Lysine
15,https://teachings.genekeys.com/gene-key-15,https://teachings.genekeys.com/product/audio15,An Eternally Flowering Spring,Dullness,Magnetism,Flourescence,IQ (V),1,5,10,Liver,Ring of Seeking,Serine
16,https://teachings.genekeys.com/gene-key-16,https://teachings.genekeys.com/product/audio16,Magical Genius,Indifference,Versatility,Mastery,,0,,9,Parathyroid,Ring of Prosperity,Cysteine
17,https://teachings.genekeys.com/gene-key-17,https://teachings.genekeys.com/product/audio17,The Eye,Opinion,Far-Sightedness,Omniscience,,0,,18,Pituitary Gland,Ring of Humanity,Arginine
18,https://teachings.genekeys.com/gene-key-18,https://teachings.genekeys.com/product/audio18,The Healing Power of Mind,Judgment,Integrity,Perfection,,0,,17,Lymphatic System,Ring of Matter,Alanine
19,https://teachings.genekeys.com/gene-key-19,https://teachings.genekeys.com/product/audio19,The Future of Being Human,Co-Dependence,Sensitivity,Sacrifice,,0,,33,Body Hair,Ring of Gaia,Isoleucine
20,https://teachings.genekeys.com/gene-key-20,https://teachings.genekeys.com/product/audio20,The Sacred Om,Superficiality,Self Assurance,Presence,,0,,34,Brain Stem,Ring of Life & Death,Leucine
21,https://teachings.genekeys.com/gene-key-21,https://teachings.genekeys.com/product/audio21,A Noble Life,Control,Authority,Valor,SQ (V),1,4,48,Lungs,Ring of Humanity,Arginine
22,https://teachings.genekeys.com/gene-key-22,https://teachings.genekeys.com/product/audio22,Grace Under Pressure,Dishonour,Graciousness,Grace,,0,,47,Solar Plexus (Cranial Ganglia),Ring of Divinity,Proline
23,https://teachings.genekeys.com/gene-key-23,https://teachings.genekeys.com/product/audio23,The Alchemy of Simplicity,Complexity,Simplicity,Quintessence,,0,,43,Throat (Thyroid),Ring of Life & Death,Leucine
24,https://teachings.genekeys.com/gene-key-24,https://teachings.genekeys.com/product/audio24,Silence - The Ultimate Addiction,Addiction,Invention,Silence,,0,,44,Neocortex,Ring of Life & Death,Leucine
25,https://teachings.genekeys.com/gene-key-25,https://teachings.genekeys.com/product/audio25,The Myth of the Sacred Wound,Constriction,Acceptance,Universal Love,,0,,46,Heart,Ring of Humanity,Arginine
26,https://teachings.genekeys.com/gene-key-26,https://teachings.genekeys.com/product/audio26,Sacred Tricksters,Pride,Artfulness,Invisibility,,0,,45,Thymus Gland,Ring of Light,Threonine
27,https://teachings.genekeys.com/gene-key-27,https://teachings.genekeys.com/product/audio27,Food of the Gods,Selfishness,Altruism,Selflessness,Attraction (V),1,5,28,Sacral Plexus,Ring of Life & Death,Leucine
28,https://teachings.genekeys.com/gene-key-28,https://teachings.genekeys.com/product/audio28,Embracing the Dark Side,Purposelessness,Totality,Immortality,,0,,27,Kidneys,Ring of Illusion,Asparaginic Acid
29,https://teachings.genekeys.com/gene-key-29,https://teachings.genekeys.com/product/audio29,Leaping into the Void,Half-Heartedness,Commitment,Devotion,,0,,30,Sacral Plexus,Ring of Union,Valine
30,https://teachings.genekeys.com/gene-key-30,https://teachings.genekeys.com/product/audio30,Celestial Fire,Desire,Lightness,Rapture,,0,,29,Solar Plexus/ Digestion,Ring of Purification,Glutamine
31,https://teachings.genekeys.com/gene-key-31,https://teachings.genekeys.com/product/audio31,Sounding Your Truth,Arrogance,Leadership,Humility,,0,,41,Throat/Thyroid,Ring of No Return,Tyrosine
32,https://teachings.genekeys.com/gene-key-32,https://teachings.genekeys.com/product/audio32,Ancestral Reverence,Failure,Preservation,Veneration,,0,,42,Spleen,Ring of Illusion,Asparaginic Acid
33,https://teachings.genekeys.com/gene-key-33,https://teachings.genekeys.com/product/audio33,The Final Revelation,Forgetting,Mindfulness,Revelation,,0,,19,Throat/Thyroid,Ring of Trials,NONE (Terminator Codon)
34,https://teachings.genekeys.com/gene-key-34,https://teachings.genekeys.com/product/audio34,The Beauty of the Beast,Force,Strength,Majesty,,0,,20,Sacral Plexus,Ring of Destiny,Asparagine
35,https://teachings.genekeys.com/gene-key-35,https://teachings.genekeys.com/product/audio35,Wormholes and Miracles,Hunger,Adventure,Boundlessness,,0,,5,Thyroid/Parathyroid,Ring of Miracles,Tryptophan
36,https://teachings.genekeys.com/gene-key-36,https://teachings.genekeys.com/product/audio36,Becoming Human,Turbulence,Humanity,Compassion,,0,,6,Solar Plexus,Ring of Divinity,Proline
37,https://teachings.genekeys.com/gene-key-37,https://teachings.genekeys.com/product/audio37,Family Alchemy,Weakness,Equality,Tenderness,,0,,40,Solar Plexus (Dorsal Ganglia),Ring of Divinity,Proline
38,https://teachings.genekeys.com/gene-key-38,https://teachings.genekeys.com/product/audio38,The Warrior of Light,Struggle,Perseverance,Honour,,0,,39,Adrenals,Ring of Humanity,Arginine
39,https://teachings.genekeys.com/gene-key-39,https://teachings.genekeys.com/product/audio39,The Tension of Transcendence,Provocation,Dynamism,Liberation,,0,,38,Adrenals,Ring of Seeking,Serine
40,https://teachings.genekeys.com/gene-key-40,https://teachings.genekeys.com/product/audio40,The Will to Surrender,Exhaustion,Resolve,Divine Will,"Core (V),Vocation (P),Culture (P)",3,"2,2,1",37,Stomach,Ring of Alchemy,Glycine
41,https://teachings.genekeys.com/gene-key-41,https://teachings.genekeys.com/product/audio41,The Prime Emanation,Fantasy,Anticipation,Emanation,,0,,31,Adrenals,Ring of Origin,Methionine
42,https://teachings.genekeys.com/gene-key-42,https://teachings.genekeys.com/product/audio42,Letting Go of Living and Dying,Expectation,Detachment,Celebration,,0,,32,Sacral Plexus,Ring of Life & Death,Leucine
43,https://teachings.genekeys.com/gene-key-43,https://teachings.genekeys.com/product/audio43,Breakthrough,Deafness,Insight,Epiphany,,0,,23,Inner Ear,Ring of Destiny,Asparagine
44,https://teachings.genekeys.com/gene-key-44,https://teachings.genekeys.com/product/audio44,Karmic Relationships,Interference,Teamwork,Synarchy,,0,,24,Immune System,Ring of the Illuminati,Glutamic Acid
45,https://teachings.genekeys.com/gene-key-45,https://teachings.genekeys.com/product/audio45,Cosmic Communion,Dominance,Synergy,Communion,,0,,26,Thyroid,Ring of the Prosperity,Cysteine
46,https://teachings.genekeys.com/gene-key-46,https://teachings.genekeys.com/product/audio46,A Science of Luck,Seriousness,Delight,Ecstasy,,0,,25,Blood,Ring of Matter,Alanine
47,https://teachings.genekeys.com/gene-key-47,https://teachings.genekeys.com/product/audio47,Transmuting the Past,Oppression,Transmutation,Transfiguration,,0,,22,Neocortex,Ring of Alchemy,Glycine
48,https://teachings.genekeys.com/gene-key-48,https://teachings.genekeys.com/product/audio48,The Wonder of Uncertainty,Inadequacy,Resourcefulness,Wisdom,,0,,21,Lymphatic System (Spleen),Ring of Matter,Alanine
49,https://teachings.genekeys.com/gene-key-49,https://teachings.genekeys.com/product/audio49,Changing the World from the Inside,Reaction,Revolution,Rebirth,,0,,4,Solar Plexus,Ring of the Whirlwind,Histidine
50,https://teachings.genekeys.com/gene-key-50,https://teachings.genekeys.com/product/audio50,Cosmic Order,Corruption,Equilibrium,Harmony,,0,,3,Immune System,Ring of the Illuminati,Glutamic Acid
51,https://teachings.genekeys.com/gene-key-51,https://teachings.genekeys.com/product/audio51,Initiative to Initiation,Agitation,Initiative,Awakening,,0,,57,Gall Bladder,Ring of Humanity,Arginine
52,https://teachings.genekeys.com/gene-key-52,https://teachings.genekeys.com/product/audio52,The Stillpoint,Stress,Restraint,Stillness,,0,,58,Perineum,Ring of Seeking,Serine
53,https://teachings.genekeys.com/gene-key-53,https://teachings.genekeys.com/product/audio53,Evolving Beyond Evolution,Immaturity,Expansion,Superabundance,,0,,54,Urogenital Diaphragm,Ring of Seeking,Serine
54,https://teachings.genekeys.com/gene-key-54,https://teachings.genekeys.com/product/audio54,The Serpent Path,Greed,Aspiration,Ascension,,0,,53,Tailbone,Ring of Seeking,Serine
55,https://teachings.genekeys.com/gene-key-55,https://teachings.genekeys.com/product/audio55,The Dragonfly's Dream,Victimization,Freedom,Freedom,Radiance (A),1,2,59,Solar Plexus (Dorsal Ganglia),Ring of the Whirlwind,Histidine
56,https://teachings.genekeys.com/gene-key-56,https://teachings.genekeys.com/product/audio56,Divine Indulgence,Distraction,Enrichment,Intoxication,,0,,60,Thyroid/Parathyroid,Ring of Trials,NONE (Terminator Codon)
57,https://teachings.genekeys.com/gene-key-57,https://teachings.genekeys.com/product/audio57,A Gentle Wind,Unease,Intuition,Clarity,,0,,51,Solar Plexus (Cranial Ganglia),Ring of Matter,Alanine
58,https://teachings.genekeys.com/gene-key-58,https://teachings.genekeys.com/product/audio58,From Stress to Bliss,Dissatisfaction,Vitality,Bliss,,0,,52,Perineum,Ring of Seeking,Serine
59,https://teachings.genekeys.com/gene-key-59,https://teachings.genekeys.com/product/audio59,The Dragon in Your Genome,Dishonesty,Intimacy,Transparency,"Purpose (V),EQ (V),Pearl (P),Purpose (A)",4,"2,6,2,2",55,Sacral Plexus (Sexual Organs),Ring of Union,Valine
60,https://teachings.genekeys.com/gene-key-60,https://teachings.genekeys.com/product/audio60,The Cracking of the Vessel,Limitation,Realism,Justice,,0,,56,Colon,Ring of Gaia,Isoleucine
61,https://teachings.genekeys.com/gene-key-61,https://teachings.genekeys.com/product/audio61,The Holy of Holies,Psychosis,Inspiration,Sanctity,,0,,62,Pineal Gland,Ring of Gaia,Isoleucine
62,https://teachings.genekeys.com/gene-key-62,https://teachings.genekeys.com/product/audio62,The Language of Light,Intellect,Precision,Impeccability,,0,,61,Throat/Thyroid,Ring of No Return,Tyrosine
63,https://teachings.genekeys.com/gene-key-63,https://teachings.genekeys.com/product/audio63,Reaching the Source,Doubt,Inquiry,Truth,,0,,64,Pineal Gland,Ring of Divinity,Proline
64,https://teachings.genekeys.com/gene-key-64,https://teachings.genekeys.com/product/audio64,The Aurora,Confusion,Imagination,Illumination,,0,,63,Pineal Gland,Ring of Alchemy,Glycine
